Order_ID,Order_Date,Customer_ID,Customer_Name,Province,City,Product,Category,Quantity,Unit_Price,Discount,Sales,Cost,Profit,Profit_Margin,Payment_Method,Sales_Channel,Year,Month,Month_Name
ORD-102399,2025-01-01,CUST-2204,Customer 2204,Manitoba,Brandon,USB-C Dock,Accessories,4,159.0,0.05,604.2,432.24,171.96,0.2846,Credit Card,Wholesale,2025,2025-01,January
ORD-105108,2025-01-01,CUST-1118,Customer 1118,Ontario,Ottawa,Notebook Pack,Office Supplies,1,24.0,0.1,21.6,15.29,6.31,0.2921,Debit,Wholesale,2025,2025-01,January
ORD-109115,2025-01-01,CUST-3109,Customer 3109,Saskatchewan,Saskatoon,Mechanical Keyboard,Accessories,2,129.0,0.05,245.1,140.92,104.18,0.4251,Credit Card,Wholesale,2025,2025-01,January
ORD-101484,2025-01-01,CUST-1168,Customer 1168,Manitoba,Brandon,Office Monitor 27,Electronics,1,349.0,0.05,331.55,203.56,127.99,0.386,Debit,Retail Store,2025,2025-01,January
ORD-107207,2025-01-01,CUST-1296,Customer 1296,Ontario,Mississauga,Wireless Mouse,Accessories,6,49.0,0.1,264.6,155.76,108.84,0.4113,Credit Card,Online,2025,2025-01,January
ORD-100557,2025-01-01,CUST-2172,Customer 2172,Alberta,Calgary,USB-C Dock,Accessories,3,159.0,0.0,477.0,387.2,89.8,0.1883,Debit,Retail Store,2025,2025-01,January
ORD-103063,2025-01-01,CUST-3157,Customer 3157,Alberta,Unknown,Wireless Headphones,Electronics,5,179.0,0.05,850.25,511.92,338.33,0.3979,Credit Card,Online,2025,2025-01,January
ORD-100733,2025-01-01,CUST-1424,Customer 1424,Ontario,Toronto,Tablet 11,Electronics,3,499.0,0.0,1497.0,1014.68,482.32,0.3222,Credit Card,Wholesale,2025,2025-01,January
ORD-104916,2025-01-01,CUST-3277,Customer 3277,Saskatchewan,Saskatoon,Office Monitor 27,Electronics,2,349.0,0.0,698.0,502.23,195.77,0.2805,Debit,Retail Store,2025,2025-01,January
ORD-106330,2025-01-02,CUST-3027,Customer 3027,Alberta,Edmonton,Ink Cartridge,Office Supplies,2,79.0,0.1,142.2,110.77,31.43,0.221,Debit,Wholesale,2025,2025-01,January
ORD-101607,2025-01-02,CUST-3495,Customer 3495,Ontario,Toronto,Wireless Mouse,Accessories,2,49.0,0.05,93.1,60.49,32.61,0.3503,Debit,Retail Store,2025,2025-01,January
ORD-107778,2025-01-02,CUST-1444,Customer 1444,Manitoba,Brandon,Laptop Pro 14,Electronics,3,1299.0,0.15,3312.45,2698.04,614.41,0.1855,Paypal,Online,2025,2025-01,January
ORD-107648,2025-01-02,CUST-2106,Customer 2106,British Columbia,Victoria,Mechanical Keyboard,Accessories,2,129.0,0.05,245.1,164.22,80.88,0.33,E-Transfer,Online,2025,2025-01,January
ORD-100152,2025-01-02,CUST-2139,Customer 2139,Alberta,Red Deer,Ink Cartridge,Office Supplies,3,79.0,0.2,189.6,109.87,79.73,0.4205,E-Transfer,Online,2025,2025-01,January
ORD-106041,2025-01-02,CUST-2564,Customer 2564,Saskatchewan,Saskatoon,Standing Desk,Furniture,1,699.0,0.0,699.0,532.67,166.33,0.238,E-Transfer,Retail Store,2025,2025-01,January
ORD-105314,2025-01-02,CUST-3808,Customer 3808,Alberta,Calgary,Webcam HD,Electronics,1,99.0,0.1,89.1,50.59,38.51,0.4322,E-Transfer,Retail Store,2025,2025-01,January
ORD-101437,2025-01-02,CUST-2328,Customer 2328,Ontario,Mississauga,Webcam HD,Electronics,3,99.0,0.0,297.0,180.71,116.29,0.3915,Debit,Online,2025,2025-01,January
ORD-105995,2025-01-02,CUST-2526,Customer 2526,Alberta,Red Deer,Desk Lamp,Furniture,1,89.0,0.1,80.1,63.12,16.98,0.212,Debit,Retail Store,2025,2025-01,January
ORD-100191,2025-01-02,CUST-2791,Customer 2791,Ontario,Mississauga,Backpack,Accessories,3,79.0,0.0,237.0,140.66,96.34,0.4065,Credit Card,Retail Store,2025,2025-01,January
ORD-103806,2025-01-02,CUST-1123,Customer 1123,Manitoba,Brandon,Tablet 11,Electronics,2,499.0,0.05,948.1,715.3,232.8,0.2455,Debit,Retail Store,2025,2025-01,January
ORD-100054,2025-01-02,CUST-3591,Customer 3591,British Columbia,Kelowna,Backpack,Accessories,4,79.0,0.0,316.0,225.42,90.58,0.2866,E-Transfer,Online,2025,2025-01,January
ORD-107708,2025-01-02,CUST-2948,Customer 2948,Alberta,Lethbridge,Mechanical Keyboard,Accessories,4,129.0,0.1,464.4,309.91,154.49,0.3327,E-Transfer,Retail Store,2025,2025-01,January
ORD-105069,2025-01-02,CUST-3365,Customer 3365,Ontario,Toronto,Tablet 11,Electronics,1,499.0,0.0,499.0,403.85,95.15,0.1907,Credit Card,Wholesale,2025,2025-01,January
ORD-101351,2025-01-02,CUST-1319,Customer 1319,Alberta,Lethbridge,Mechanical Keyboard,Accessories,1,129.0,0.0,129.0,94.8,34.2,0.2651,Debit,Online,2025,2025-01,January
ORD-103447,2025-01-03,CUST-3930,Customer 3930,Ontario,Toronto,Tablet 11,Electronics,1,499.0,0.0,499.0,285.58,213.42,0.4277,Debit,Online,2025,2025-01,January
ORD-107341,2025-01-03,CUST-3177,Customer 3177,Ontario,Hamilton,Notebook Pack,Office Supplies,2,24.0,0.0,48.0,31.75,16.25,0.3385,Paypal,Online,2025,2025-01,January
ORD-109351,2025-01-03,CUST-3705,Customer 3705,Ontario,Mississauga,USB-C Dock,Accessories,2,159.0,0.0,318.0,201.26,116.74,0.3671,Debit,Online,2025,2025-01,January
ORD-102881,2025-01-03,CUST-2875,Customer 2875,British Columbia,Kelowna,Office Chair,Furniture,2,429.0,0.05,815.1,620.59,194.51,0.2386,Credit Card,Online,2025,2025-01,January
ORD-105878,2025-01-03,CUST-2773,Customer 2773,British Columbia,Vancouver,Backpack,Accessories,3,79.0,0.1,213.3,164.8,48.5,0.2274,Debit,Wholesale,2025,2025-01,January
ORD-109675,2025-01-03,CUST-4147,Customer 4147,Alberta,Red Deer,Tablet 11,Electronics,3,499.0,0.1,1347.3,854.96,492.34,0.3654,Credit Card,Retail Store,2025,2025-01,January
ORD-107293,2025-01-03,CUST-3571,Customer 3571,Ontario,Hamilton,Office Chair,Furniture,2,429.0,0.0,858.0,641.41,216.59,0.2524,Paypal,Online,2025,2025-01,January
ORD-103304,2025-01-03,CUST-1169,Customer 1169,Ontario,Toronto,Office Monitor 27,Electronics,5,349.0,0.1,1570.5,1097.58,472.92,0.3011,Debit,Online,2025,2025-01,January
ORD-100660,2025-01-03,CUST-2994,Customer 2994,Alberta,Edmonton,Laptop Pro 14,Electronics,2,1299.0,0.2,2078.4,1657.02,421.38,0.2027,E-Transfer,Online,2025,2025-01,January
ORD-101164,2025-01-03,CUST-2092,Customer 2092,Alberta,Calgary,Office Monitor 27,Electronics,1,349.0,0.0,349.0,269.48,79.52,0.2279,Paypal,Online,2025,2025-01,January
ORD-104890,2025-01-03,CUST-2097,Customer 2097,Manitoba,Winnipeg,Office Monitor 27,Electronics,2,349.0,0.1,628.2,418.84,209.36,0.3333,Paypal,Online,2025,2025-01,January
ORD-102758,2025-01-03,CUST-3223,Customer 3223,British Columbia,Surrey,Ink Cartridge,Office Supplies,1,79.0,0.05,75.05,53.39,21.66,0.2886,Paypal,Retail Store,2025,2025-01,January
ORD-109730,2025-01-03,CUST-2121,Customer 2121,Alberta,Red Deer,Office Monitor 27,Electronics,1,349.0,0.15,296.65,181.62,115.03,0.3878,Debit,Online,2025,2025-01,January
ORD-108299,2025-01-03,CUST-2827,Customer 2827,Ontario,Hamilton,Desk Lamp,Furniture,2,89.0,0.0,178.0,106.07,71.93,0.4041,E-Transfer,Wholesale,2025,2025-01,January
ORD-101570,2025-01-03,CUST-4031,Customer 4031,Alberta,Calgary,Mechanical Keyboard,Accessories,2,129.0,0.1,232.2,130.24,101.96,0.4391,E-Transfer,Wholesale,2025,2025-01,January
ORD-101121,2025-01-03,CUST-1932,Customer 1932,Alberta,Edmonton,Laptop Pro 14,Electronics,2,1299.0,0.0,2598.0,1932.96,665.04,0.256,Paypal,Wholesale,2025,2025-01,January
ORD-109926,2025-01-03,CUST-2641,Unknown,Alberta,Calgary,Notebook Pack,Office Supplies,2,24.0,0.0,48.0,26.73,21.27,0.4431,E-Transfer,Online,2025,2025-01,January
ORD-105705,2025-01-04,CUST-3847,Customer 3847,Ontario,Ottawa,Wireless Headphones,Electronics,2,179.0,0.0,358.0,266.88,91.12,0.2545,Paypal,Retail Store,2025,2025-01,January
ORD-104065,2025-01-04,CUST-2636,Customer 2636,Ontario,Mississauga,Webcam HD,Electronics,2,99.0,0.0,198.0,131.99,66.01,0.3334,Paypal,Online,2025,2025-01,January
ORD-109793,2025-01-04,CUST-1650,Customer 1650,Alberta,Edmonton,Wireless Mouse,Accessories,4,49.0,0.05,186.2,103.65,82.55,0.4433,E-Transfer,Online,2025,2025-01,January
ORD-104228,2025-01-04,CUST-3975,Customer 3975,Saskatchewan,Regina,Webcam HD,Electronics,3,99.0,0.0,297.0,206.05,90.95,0.3062,Credit Card,Retail Store,2025,2025-01,January
ORD-100973,2025-01-04,CUST-3809,Customer 3809,Saskatchewan,Saskatoon,Wireless Headphones,Electronics,1,179.0,0.0,179.0,132.01,46.99,0.2625,Paypal,Retail Store,2025,2025-01,January
ORD-105483,2025-01-04,CUST-3643,Customer 3643,Alberta,Lethbridge,Office Monitor 27,Electronics,6,349.0,0.0,2094.0,1189.68,904.32,0.4319,E-Transfer,Online,2025,2025-01,January
ORD-105761,2025-01-04,CUST-2358,Customer 2358,Ontario,Toronto,USB-C Dock,Accessories,6,159.0,0.05,906.3,710.66,195.64,0.2159,Credit Card,Wholesale,2025,2025-01,January
ORD-108305,2025-01-04,CUST-1127,Customer 1127,Alberta,Red Deer,Ink Cartridge,Office Supplies,2,79.0,0.05,150.1,113.89,36.21,0.2412,Debit,Online,2025,2025-01,January
ORD-109982,2025-01-04,CUST-3696,Customer 3696,Ontario,Hamilton,Notebook Pack,Office Supplies,6,24.0,0.05,136.8,103.22,33.58,0.2455,Paypal,Online,2025,2025-01,January
ORD-100716,2025-01-04,CUST-3923,Customer 3923,Ontario,Mississauga,USB-C Dock,Accessories,2,159.0,0.05,302.1,189.81,112.29,0.3717,E-Transfer,Retail Store,2025,2025-01,January
ORD-107304,2025-01-04,CUST-3881,Customer 3881,Ontario,Ottawa,Printer Paper,Office Supplies,2,39.0,0.0,78.0,53.52,24.48,0.3138,Credit Card,Online,2025,2025-01,January
ORD-107968,2025-01-04,CUST-2215,Customer 2215,British Columbia,Kelowna,Tablet 11,Electronics,3,499.0,0.05,1422.15,970.5,451.65,0.3176,E-Transfer,Online,2025,2025-01,January
ORD-103000,2025-01-04,CUST-1982,Customer 1982,Manitoba,Winnipeg,USB-C Dock,Accessories,2,159.0,0.05,302.1,166.84,135.26,0.4477,Paypal,Retail Store,2025,2025-01,January
ORD-105401,2025-01-05,CUST-1711,Customer 1711,Alberta,Calgary,Office Chair,Furniture,1,429.0,0.0,429.0,236.11,192.89,0.4496,Credit Card,Wholesale,2025,2025-01,January
ORD-103954,2025-01-05,CUST-2847,Customer 2847,British Columbia,Vancouver,Tablet 11,Electronics,3,499.0,0.05,1422.15,802.23,619.92,0.4359,Debit,Retail Store,2025,2025-01,January
ORD-100622,2025-01-05,CUST-2736,Customer 2736,Saskatchewan,Regina,Ink Cartridge,Office Supplies,4,79.0,0.0,316.0,188.18,127.82,0.4045,Debit,Online,2025,2025-01,January
ORD-108868,2025-01-05,CUST-1612,Customer 1612,Saskatchewan,Regina,Wireless Headphones,Electronics,2,179.0,0.0,358.0,263.17,94.83,0.2649,Debit,Retail Store,2025,2025-01,January
ORD-108745,2025-01-05,CUST-3115,Customer 3115,Ontario,Hamilton,Standing Desk,Furniture,1,699.0,0.05,664.05,377.15,286.9,0.432,E-Transfer,Online,2025,2025-01,January
ORD-100763,2025-01-05,CUST-3333,Customer 3333,British Columbia,Kelowna,Standing Desk,Furniture,2,699.0,0.1,1258.2,723.7,534.5,0.4248,E-Transfer,Online,2025,2025-01,January
ORD-100530,2025-01-05,CUST-3306,Customer 3306,Manitoba,Brandon,Wireless Mouse,Accessories,1,49.0,0.1,44.1,25.22,18.88,0.4281,Credit Card,Retail Store,2025,2025-01,January
ORD-100305,2025-01-05,CUST-1278,Customer 1278,Ontario,Mississauga,Tablet 11,Electronics,1,499.0,0.1,449.1,341.59,107.51,0.2394,E-Transfer,Online,2025,2025-01,January
ORD-109837,2025-01-05,CUST-2289,Customer 2289,Saskatchewan,Saskatoon,Tablet 11,Electronics,1,499.0,0.05,474.05,361.3,112.75,0.2378,Debit,Wholesale,2025,2025-01,January
ORD-102866,2025-01-05,CUST-1932,Customer 1932,Alberta,Lethbridge,Laptop Pro 14,Electronics,3,1299.0,0.15,3312.45,2702.04,610.41,0.1843,Credit Card,Online,2025,2025-01,January
ORD-103907,2025-01-05,CUST-4147,Customer 4147,Alberta,Lethbridge,Desk Lamp,Furniture,2,89.0,0.1,160.2,121.49,38.71,0.2416,Debit,Retail Store,2025,2025-01,January
ORD-104004,2025-01-05,CUST-3762,Customer 3762,Ontario,Toronto,Ink Cartridge,Office Supplies,1,79.0,0.0,79.0,53.77,25.23,0.3194,Credit Card,Online,2025,2025-01,January
ORD-109577,2025-01-05,CUST-4112,Customer 4112,Alberta,Edmonton,Mechanical Keyboard,Accessories,4,129.0,0.1,464.4,322.32,142.08,0.3059,E-Transfer,Online,2025,2025-01,January
ORD-100100,2025-01-05,CUST-3237,Customer 3237,Alberta,Red Deer,Tablet 11,Electronics,5,499.0,0.05,2370.25,1314.4,1055.85,0.4455,E-Transfer,Online,2025,2025-01,January
ORD-106632,2025-01-06,CUST-2660,Customer 2660,British Columbia,Vancouver,Laptop Pro 14,Electronics,1,1299.0,0.05,1234.05,923.53,310.52,0.2516,Debit,Online,2025,2025-01,January
ORD-103771,2025-01-06,CUST-3154,Customer 3154,British Columbia,Surrey,Tablet 11,Electronics,5,499.0,0.1,2245.5,1783.9,461.6,0.2056,Paypal,Online,2025,2025-01,January
ORD-109248,2025-01-06,CUST-1167,Customer 1167,Alberta,Red Deer,Printer Paper,Office Supplies,2,39.0,0.05,74.1,53.68,20.42,0.2756,E-Transfer,Retail Store,2025,2025-01,January
ORD-105990,2025-01-06,CUST-2614,Customer 2614,Alberta,Edmonton,Standing Desk,Furniture,2,699.0,0.05,1328.1,759.63,568.47,0.428,E-Transfer,Online,2025,2025-01,January
ORD-103862,2025-01-06,CUST-3041,Customer 3041,British Columbia,Kelowna,Notebook Pack,Office Supplies,3,24.0,0.05,68.4,45.98,22.42,0.3278,E-Transfer,Retail Store,2025,2025-01,January
ORD-104067,2025-01-06,CUST-3746,Customer 3746,Ontario,Toronto,Wireless Headphones,Electronics,4,179.0,0.05,680.2,403.88,276.32,0.4062,Paypal,Retail Store,2025,2025-01,January
ORD-103335,2025-01-06,CUST-1890,Customer 1890,Alberta,Red Deer,Standing Desk,Furniture,2,699.0,0.05,1328.1,876.44,451.66,0.3401,Paypal,Online,2025,2025-01,January
ORD-104000,2025-01-06,CUST-3893,Customer 3893,Ontario,Hamilton,USB-C Dock,Accessories,2,159.0,0.1,286.2,215.06,71.14,0.2486,Debit,Retail Store,2025,2025-01,January
ORD-100712,2025-01-06,CUST-2516,Customer 2516,Alberta,Red Deer,USB-C Dock,Accessories,2,159.0,0.0,318.0,180.35,137.65,0.4329,Credit Card,Retail Store,2025,2025-01,January
ORD-107624,2025-01-06,CUST-2800,Customer 2800,Alberta,Edmonton,Office Chair,Furniture,1,429.0,0.2,343.2,240.3,102.9,0.2998,Paypal,Online,2025,2025-01,January
ORD-106933,2025-01-06,CUST-1753,Customer 1753,Ontario,Ottawa,Office Chair,Furniture,5,429.0,0.05,2037.75,1454.67,583.08,0.2861,E-Transfer,Retail Store,2025,2025-01,January
ORD-104074,2025-01-06,CUST-1730,Customer 1730,Manitoba,Winnipeg,Backpack,Accessories,2,79.0,0.15,134.3,87.66,46.64,0.3473,Paypal,Retail Store,2025,2025-01,January
ORD-109948,2025-01-06,CUST-1898,Customer 1898,British Columbia,Vancouver,Wireless Headphones,Electronics,2,179.0,0.1,322.2,190.79,131.41,0.4079,E-Transfer,Retail Store,2025,2025-01,January
ORD-101267,2025-01-07,CUST-1948,Customer 1948,Manitoba,Brandon,Desk Lamp,Furniture,3,89.0,0.0,267.0,148.55,118.45,0.4436,Credit Card,Retail Store,2025,2025-01,January
ORD-105561,2025-01-07,CUST-2896,Customer 2896,Alberta,Lethbridge,Wireless Mouse,Accessories,2,49.0,0.05,93.1,54.0,39.1,0.42,Paypal,Online,2025,2025-01,January
ORD-101754,2025-01-07,CUST-2551,Customer 2551,Alberta,Red Deer,USB-C Dock,Accessories,6,159.0,0.0,954.0,764.1,189.9,0.1991,E-Transfer,Online,2025,2025-01,January
ORD-102478,2025-01-07,CUST-2781,Customer 2781,Ontario,Ottawa,Desk Lamp,Furniture,2,89.0,0.05,169.1,97.1,72.0,0.4258,E-Transfer,Online,2025,2025-01,January
ORD-104414,2025-01-07,CUST-1394,Customer 1394,Ontario,Hamilton,Wireless Mouse,Accessories,1,49.0,0.0,49.0,40.14,8.86,0.1808,Credit Card,Online,2025,2025-01,January
ORD-108069,2025-01-07,CUST-2291,Customer 2291,Ontario,Mississauga,Tablet 11,Electronics,1,499.0,0.0,499.0,371.34,127.66,0.2558,Credit Card,Online,2025,2025-01,January
ORD-104838,2025-01-07,CUST-3925,Customer 3925,Manitoba,Winnipeg,Office Chair,Furniture,1,429.0,0.1,386.1,304.23,81.87,0.212,E-Transfer,Online,2025,2025-01,January
ORD-100936,2025-01-07,CUST-3712,Customer 3712,Ontario,Mississauga,Webcam HD,Electronics,1,99.0,0.0,99.0,77.45,21.55,0.2177,Debit,Retail Store,2025,2025-01,January
ORD-101215,2025-01-07,CUST-3559,Customer 3559,Manitoba,Winnipeg,Webcam HD,Electronics,1,99.0,0.05,94.05,65.81,28.24,0.3003,Debit,Wholesale,2025,2025-01,January
ORD-108998,2025-01-07,CUST-2701,Customer 2701,Ontario,Hamilton,Desk Lamp,Furniture,2,89.0,0.0,178.0,101.7,76.3,0.4287,Debit,Retail Store,2025,2025-01,January
ORD-109295,2025-01-07,CUST-3855,Customer 3855,Ontario,Ottawa,Backpack,Accessories,5,79.0,0.0,395.0,282.0,113.0,0.2861,Debit,Online,2025,2025-01,January
ORD-106712,2025-01-07,CUST-3808,Customer 3808,Saskatchewan,Unknown,Wireless Headphones,Electronics,2,179.0,0.05,340.1,215.74,124.36,0.3657,Credit Card,Retail Store,2025,2025-01,January
ORD-106036,2025-01-07,CUST-3513,Customer 3513,Alberta,Lethbridge,Webcam HD,Electronics,1,99.0,0.15,84.15,66.52,17.63,0.2095,Debit,Online,2025,2025-01,January
ORD-107096,2025-01-07,CUST-3895,Customer 3895,Ontario,Toronto,Wireless Mouse,Accessories,4,49.0,0.0,196.0,109.4,86.6,0.4418,E-Transfer,Online,2025,2025-01,January
ORD-103401,2025-01-07,CUST-2386,Customer 2386,Manitoba,Brandon,Standing Desk,Furniture,2,699.0,0.0,1398.0,1000.53,397.47,0.2843,Paypal,Online,2025,2025-01,January
ORD-107788,2025-01-07,CUST-2581,Customer 2581,British Columbia,Vancouver,Desk Lamp,Furniture,4,89.0,0.05,338.2,245.36,92.84,0.2745,Paypal,Online,2025,2025-01,January
ORD-106584,2025-01-07,CUST-2909,Customer 2909,Alberta,Edmonton,Wireless Headphones,Electronics,2,179.0,0.05,340.1,236.08,104.02,0.3059,E-Transfer,Retail Store,2025,2025-01,January
ORD-103220,2025-01-07,CUST-1610,Customer 1610,Ontario,Toronto,Laptop Pro 14,Electronics,2,1299.0,0.0,2598.0,2081.62,516.38,0.1988,Credit Card,Online,2025,2025-01,January
ORD-106418,2025-01-07,CUST-2899,Customer 2899,Alberta,Edmonton,Ink Cartridge,Office Supplies,6,79.0,0.0,474.0,297.38,176.62,0.3726,Paypal,Retail Store,2025,2025-01,January
ORD-100659,2025-01-07,CUST-3635,Customer 3635,Ontario,Mississauga,Tablet 11,Electronics,3,499.0,0.0,1497.0,1083.73,413.27,0.2761,Paypal,Retail Store,2025,2025-01,January
ORD-101377,2025-01-07,CUST-1919,Customer 1919,Alberta,Edmonton,Office Chair,Furniture,5,429.0,0.05,2037.75,1123.3,914.45,0.4488,Credit Card,Wholesale,2025,2025-01,January
ORD-106572,2025-01-07,CUST-4023,Customer 4023,Ontario,Mississauga,Wireless Headphones,Electronics,2,179.0,0.0,358.0,258.91,99.09,0.2768,Credit Card,Wholesale,2025,2025-01,January
ORD-103632,2025-01-08,CUST-1654,Customer 1654,Alberta,Calgary,Tablet 11,Electronics,1,499.0,0.1,449.1,345.72,103.38,0.2302,Credit Card,Online,2025,2025-01,January
ORD-108980,2025-01-08,CUST-3722,Customer 3722,Alberta,Calgary,Webcam HD,Electronics,3,99.0,0.1,267.3,178.02,89.28,0.334,E-Transfer,Online,2025,2025-01,January
ORD-102185,2025-01-08,CUST-1613,Customer 1613,British Columbia,Victoria,Office Monitor 27,Electronics,2,349.0,0.05,663.1,445.42,217.68,0.3283,Paypal,Online,2025,2025-01,January
ORD-108418,2025-01-08,CUST-1163,Customer 1163,Ontario,Ottawa,Office Monitor 27,Electronics,2,349.0,0.0,698.0,528.81,169.19,0.2424,Credit Card,Online,2025,2025-01,January
ORD-108860,2025-01-08,CUST-1262,Customer 1262,Ontario,Toronto,Ink Cartridge,Office Supplies,2,79.0,0.0,158.0,104.61,53.39,0.3379,Paypal,Wholesale,2025,2025-01,January
ORD-104777,2025-01-08,CUST-3863,Customer 3863,Saskatchewan,Saskatoon,Wireless Mouse,Accessories,4,49.0,0.05,186.2,105.85,80.35,0.4315,E-Transfer,Retail Store,2025,2025-01,January
ORD-108874,2025-01-08,CUST-3336,Customer 3336,Alberta,Lethbridge,Notebook Pack,Office Supplies,3,24.0,0.0,72.0,49.46,22.54,0.3131,Paypal,Online,2025,2025-01,January
ORD-100915,2025-01-08,CUST-2822,Customer 2822,Ontario,Ottawa,Tablet 11,Electronics,1,499.0,0.2,399.2,306.49,92.71,0.2322,Credit Card,Retail Store,2025,2025-01,January
ORD-100511,2025-01-08,CUST-2321,Customer 2321,British Columbia,Vancouver,Laptop Pro 14,Electronics,4,1299.0,0.0,5196.0,3572.97,1623.03,0.3124,Credit Card,Online,2025,2025-01,January
ORD-102916,2025-01-08,CUST-2927,Customer 2927,Ontario,Mississauga,Office Chair,Furniture,1,429.0,0.15,364.65,291.41,73.24,0.2009,Debit,Retail Store,2025,2025-01,January
ORD-101879,2025-01-08,CUST-3560,Customer 3560,Ontario,Ottawa,Standing Desk,Furniture,1,699.0,0.0,699.0,418.43,280.57,0.4014,Credit Card,Online,2025,2025-01,January
ORD-102340,2025-01-08,CUST-3873,Customer 3873,Saskatchewan,Regina,Wireless Mouse,Accessories,2,49.0,0.15,83.3,52.71,30.59,0.3672,E-Transfer,Online,2025,2025-01,January
ORD-108623,2025-01-08,CUST-4009,Customer 4009,Alberta,Red Deer,Notebook Pack,Office Supplies,2,24.0,0.2,38.4,30.25,8.15,0.2122,Paypal,Online,2025,2025-01,January
ORD-100646,2025-01-08,CUST-2758,Customer 2758,Ontario,Mississauga,Printer Paper,Office Supplies,2,39.0,0.0,78.0,61.55,16.45,0.2109,Credit Card,Retail Store,2025,2025-01,January
ORD-108901,2025-01-08,CUST-2498,Customer 2498,Alberta,Calgary,Desk Lamp,Furniture,3,89.0,0.15,226.95,128.23,98.72,0.435,E-Transfer,Retail Store,2025,2025-01,January
ORD-104353,2025-01-08,CUST-2347,Customer 2347,Saskatchewan,Regina,Wireless Mouse,Accessories,1,49.0,0.05,46.55,27.11,19.44,0.4176,Credit Card,Online,2025,2025-01,January
ORD-106657,2025-01-08,CUST-1303,Customer 1303,Ontario,Hamilton,Printer Paper,Office Supplies,1,39.0,0.2,31.2,25.42,5.78,0.1853,Paypal,Online,2025,2025-01,January
ORD-103984,2025-01-08,CUST-1817,Customer 1817,Ontario,Mississauga,USB-C Dock,Accessories,1,159.0,0.1,143.1,100.66,42.44,0.2966,E-Transfer,Retail Store,2025,2025-01,January
ORD-105321,2025-01-08,CUST-1307,Customer 1307,Manitoba,Brandon,Printer Paper,Office Supplies,1,39.0,0.0,39.0,27.66,11.34,0.2908,Credit Card,Retail Store,2025,2025-01,January
ORD-109832,2025-01-08,CUST-1181,Customer 1181,Alberta,Edmonton,Webcam HD,Electronics,5,99.0,0.1,445.5,275.95,169.55,0.3806,Credit Card,Wholesale,2025,2025-01,January
ORD-101515,2025-01-08,CUST-3455,Customer 3455,British Columbia,Kelowna,Webcam HD,Electronics,1,99.0,0.0,99.0,68.25,30.75,0.3106,E-Transfer,Online,2025,2025-01,January
